user_input|corrected_input|query_type|action_type|display_entities|filter_entities|business_validation|enhanced_nlp_query_type|enhanced_nlp_action_type
payment terms for contarct 123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what are paymet terms for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
show payment term for 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
payement terms for 456789|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what payment for contrat 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
incoterms for contarct 678901|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what incoterm for 789012?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
show incotems for 890123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
contract lenght for 123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what contract length for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
price experation date for 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
when price expire for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
price expiry for contarct 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
show price experation for 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
what price expire date for 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
creation date for contarct 678901|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
when was 789012 created?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
create date for 890123|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
show creation for contarct 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
when created 234567?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what type of contarct 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
contract typ for 234567|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
show contarct type for 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
what kind contract 456789?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
type of contrat 567890|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
status of contarct 678901|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
what status for 789012?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
show contarct status for 890123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
is 123456 active?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
contract staus for 234567|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
show all details for 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
get everything for contarct 234567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
full info for 345678|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
complete details contrat 456789|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
show summary for 567890|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
overview of contarct 678901|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
brief for 789012|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
quick info 890123|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
details about 123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
information on contarct 234567|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
What is the lead time for part AE12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_lead_time_query
Show me part detials for BC67890|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What lead tim for part DE23456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show leadtime for FG78901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_lead_time_query
What's the leed time for part HI34567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get part informaton for JK89012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show part info for LM45678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What part details for NO90123?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get part data for PQ56789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show part summary for RS12345|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What's the price for part AE12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
Show pric for part BC67890|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What cost for part DE23456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
Get price info for FG78901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
Show pricing for part HI34567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What's the prise for JK89012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Cost of part LM45678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
Price details for NO90123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
Show part price for PQ56789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
What pricing for RS12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What's the MOQ for part AE12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_moq_query
Show minimum order for BC67890|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What min order qty for DE23456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
MOQ for part FG78901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_moq_query
Minimum order quantity for HI34567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What UOM for part JK89012?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_uom_query
Show unit of measure for LM45678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
UOM for NO90123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_uom_query
Unit measure for PQ56789|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
What unit for part RS12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What's the status of part AE12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show part staus for BC67890|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Status for part DE23456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What status FG78901?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show part status for HI34567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Is part JK89012 active?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Part status for LM45678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What's status of NO90123?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show status for PQ56789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Status info for RS12345|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
What's the item classification for AE12345?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show item class for BC67890|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Classification for part DE23456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What class for FG78901?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Item classification HI34567|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
Show classification for JK89012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What item class for LM45678?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Classification of NO90123|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
Item class for PQ56789|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
Show class for RS12345|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show me invoice parts for 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What invoice part for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List invoce parts for 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show invoice part for 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What invoice parts in 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get invoice part for 678901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show invoic parts for 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List invoice part for 890123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What invoice parts for 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show all invoice part for 234567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show me all parts for contarct 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What parts in 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List part for contract 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show parts for contrat 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What parts loaded in 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get parts for contarct 678901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show all part for 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List parts in contract 890123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What parts for 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show part list for 234567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show me failed parts for 123456|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What failed part for 234567?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
List faild parts for 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show failed part for 456789|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What parts failed in 567890?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Get failed parts for 678901|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show failing parts for 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List failed part for 890123|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What failed parts for 123456?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show all failed part for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Why did parts fail for 123456?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show error reasons for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What errors for failed parts 345678?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Why parts failed in 456789?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show failure reasons for 567890|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What caused parts to fail for 678901?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Error details for failed parts 789012|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Why failed parts in 890123?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show error info for 123456|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What errors caused failure for 234567?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show me part errors for 123456|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What part error for 234567?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
List parts with errors for 345678|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show error parts for 456789|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What parts have errors in 567890?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Get parts errors for 678901|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show parts with issues for 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List error parts for 890123|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What parts errors for 123456?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show all error parts for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What columns have errors for 123456?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show error columns for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Which columns failed for 345678?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What column errors for 456789?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show failed columns for 567890|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Error column details for 678901|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What columns with errors for 789012?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show column failures for 890123|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Which columns error for 123456?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Error column info for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show me parts with missing data for 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What parts missing info for 234567?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List parts with no data for 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show incomplete parts for 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What parts missing data in 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Get parts with missing info for 678901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show parts missing data for 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
List incomplete parts for 890123|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What parts no data for 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show missing data parts for 234567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What errors occurred during loading for 123456?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show loading errors for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What load errors for 345678?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show loading issues for 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What happened during load for 567890?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Loading error details for 678901|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What load problems for 789012?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show load failures for 890123|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Loading issues for 123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
What errors during loading for 234567?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
List validation issues for 123456|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show validation errors for 234567|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What validation problems for 345678?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show validation issues for 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What validation errors in 567890?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Get validation problems for 678901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show validation failures for 789012|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
List validation errors for 890123|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What validation issues for 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show validation problems for 234567|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show me contarct details and failed parts for 123456|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
What's the effective date and part errors for 234567?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
List all parts and customer info for contrat 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
Show contract info and failed part for 456789|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Get customer name and parts errors for 567890|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
Show contarct details and part issues for 678901|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
What effective date and failed parts for 789012?|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
List contract info and error parts for 890123|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
tell me about contract 123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
i need info on 234567|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
can you show me 345678|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
what do you know about contarct 456789|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
give me details for 567890|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
i want to see 678901|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
please show 789012|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
can i get info on 890123|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
help me with contract 123456|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
i need help with 234567|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
whats up with 123456?|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
hows 234567 looking?|null|CONTRACTS|error|[]|[]|{}|HELP|HELP_CONTRACT_CREATE_BOT
anything wrong with 345678?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
is 456789 ok?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
problems with 567890?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
issues with 678901?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
troubles with 789012?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
concerns about 890123?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
status on 123456?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
update on 234567?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
 |null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
?|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
.|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
!|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
contract|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
part|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_list
failed|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
123456|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
AE12345|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
contract@123456#details|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
part$AE12345%price|null|CONTRACTS|error|[]|[]|{}|PARTS|parts_price_query
failed&parts*789012|null|CONTRACTS|error|[]|[]|{}|FAILED_PARTS|failed_parts_list
contract~123456^info|null|CONTRACTS|error|[]|[]|{}|CONTRACTS|contracts_list
